label,resolved_labels,resolved_scientific_names,resolved_taxonomic_labels,taxonopy_resolution_statuses
Acer nigrum Michx. f.,Acer nigrum,Acer nigrum Michx. f.,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Acer Acer nigrum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Acer pensylvanicum L.,Acer pensylvanicum,Acer pensylvanicum L.,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Acer Acer pensylvanicum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Acer platanoides L.,Acer platanoides,Acer platanoides L.,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Acer Acer platanoides,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Acer rubrum L.,Acer rubrum,Acer rubrum L.,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Acer Acer rubrum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Acer rubrum L. var. drummondii (Hook. & Arn. ex Nutt.) Sarg.,Acer rubrum,Acer rubrum L. var. drummondii (Hook. & Arn. ex Nutt.) Sarg.,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Acer Acer rubrum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Acer rubrum L. var. rubrum,Acer rubrum,Acer rubrum L. var. rubrum,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Acer Acer rubrum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Acer rubrum L. var. trilobum Torr. & A. Gray ex K. Koch,Acer rubrum,Acer rubrum L. var. trilobum Torr. & A. Gray ex K. Koch,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Acer Acer rubrum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Acer saccharinum L.,Acer saccharinum,Acer saccharinum L.,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Acer Acer saccharinum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Acer saccharum Marshall,Acer saccharum,Acer saccharum Marshall,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Acer Acer saccharum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Acer saccharum Marshall var. saccharum,Acer saccharum,Acer saccharum Marshall var. saccharum,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Acer Acer saccharum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Acer spicatum Lam.,Acer spicatum,Acer spicatum Lam.,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Acer Acer spicatum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Achillea L.,Achillea L.,Achillea L.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Achillea,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Achillea millefolium L.,Achillea millefolium,Achillea millefolium L.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Achillea Achillea millefolium,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Achillea millefolium L. var. occidentalis DC.,Achillea millefolium,Achillea millefolium L. var. occidentalis DC.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Achillea Achillea millefolium,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Acinos Mill.,Acinos Mill.,Acinos Mill.,Plantae Tracheophyta Magnoliopsida Lamiales Lamiaceae Acinos,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Acinos arvensis (Lam.) Dandy,Clinopodium acinos,Acinos arvensis (Lam.) Dandy,Plantae Tracheophyta Magnoliopsida Lamiales Lamiaceae Clinopodium Clinopodium acinos,EXACT_MATCH_PRIMARY_SOURCE_SYNONYM_SIMPLE
Aconitum L.,Aconitum L.,Aconitum L.,Plantae Tracheophyta Magnoliopsida Ranunculales Ranunculaceae Aconitum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Aconitum reclinatum A. Gray,Aconitum reclinatum,Aconitum reclinatum A. Gray,Plantae Tracheophyta Magnoliopsida Ranunculales Ranunculaceae Aconitum Aconitum reclinatum,EXACT_MATCH_PRIMARY_SOURCE_MULT_ACCEPTED
Aconitum uncinatum L.,Aconitum uncinatum,Aconitum uncinatum L.,Plantae Tracheophyta Magnoliopsida Ranunculales Ranunculaceae Aconitum Aconitum uncinatum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Aconitum uncinatum L. ssp. muticum (DC.) Hardin,Aconitum uncinatum,Aconitum uncinatum L. ssp. muticum (DC.) Hardin,Plantae Tracheophyta Magnoliopsida Ranunculales Ranunculaceae Aconitum Aconitum uncinatum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Aconitum uncinatum L. ssp. uncinatum,Aconitum uncinatum,Aconitum uncinatum L. ssp. uncinatum,Plantae Tracheophyta Magnoliopsida Ranunculales Ranunculaceae Aconitum Aconitum uncinatum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Acorus L.,Acorus L.,Acorus L.,Plantae Tracheophyta Liliopsida Acorales Acoraceae Acorus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Acorus americanus (Raf.) Raf.,Acorus calamus,Acorus americanus (Raf.) Raf.,Plantae Tracheophyta Liliopsida Acorales Acoraceae Acorus Acorus calamus,EXACT_MATCH_PRIMARY_SOURCE_SYNONYM_SIMPLE
Acorus calamus L.,Acorus calamus,Acorus calamus L.,Plantae Tracheophyta Liliopsida Acorales Acoraceae Acorus Acorus calamus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Actaea L.,Actaea L.,Actaea L.,Plantae Tracheophyta Magnoliopsida Ranunculales Ranunculaceae Actaea,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Actaea pachypoda Elliott,Actaea pachypoda,Actaea pachypoda Elliott,Plantae Tracheophyta Magnoliopsida Ranunculales Ranunculaceae Actaea Actaea pachypoda,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Actaea podocarpa DC.,Actaea podocarpa,Actaea podocarpa DC.,Plantae Tracheophyta Magnoliopsida Ranunculales Ranunculaceae Actaea Actaea podocarpa,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Actaea racemosa L.,Actaea racemosa,Actaea racemosa L.,Plantae Tracheophyta Magnoliopsida Ranunculales Ranunculaceae Actaea Actaea racemosa,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Actaea racemosa L. var. racemosa,Actaea racemosa,Actaea racemosa L. var. racemosa,Plantae Tracheophyta Magnoliopsida Ranunculales Ranunculaceae Actaea Actaea racemosa,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Actaea rubifolia (Kearney) Kartesz,Actaea rubifolia,Actaea rubifolia (Kearney) Kartesz,Plantae Tracheophyta Magnoliopsida Ranunculales Ranunculaceae Actaea Actaea rubifolia,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Adiantum L.,Adiantum L.,Adiantum L.,Plantae Tracheophyta Polypodiopsida Polypodiales Pteridaceae Adiantum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Adiantum capillus-veneris L.,Adiantum capillus-veneris,Adiantum capillus-veneris L.,Plantae Tracheophyta Polypodiopsida Polypodiales Pteridaceae Adiantum Adiantum capillus-veneris,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Adiantum pedatum L.,Adiantum pedatum,Adiantum pedatum L.,Plantae Tracheophyta Polypodiopsida Polypodiales Pteridaceae Adiantum Adiantum pedatum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Adlumia Raf. ex DC.,Adlumia Raf. ex DC.,Adlumia Raf. ex DC.,Plantae Tracheophyta Magnoliopsida Ranunculales Papaveraceae Adlumia,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
"Adlumia fungosa (Aiton) Greene ex Britton, Sterns & Poggenb.",Adlumia fungosa,"Adlumia fungosa (Aiton) Greene ex Britton, Sterns & Poggenb.",Plantae Tracheophyta Magnoliopsida Ranunculales Papaveraceae Adlumia Adlumia fungosa,EXACT_MATCH_PRIMARY_SOURCE_MULT_ACCEPTED
Aegilops L.,Aegilops L.,Aegilops L.,Plantae Tracheophyta Liliopsida Poales Poaceae Aegilops,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Aegilops cylindrica Host,Aegilops cylindrica,Aegilops cylindrica Host,Plantae Tracheophyta Liliopsida Poales Poaceae Aegilops Aegilops cylindrica,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Aegilops geniculata Roth,Aegilops geniculata,Aegilops geniculata Roth,Plantae Tracheophyta Liliopsida Poales Poaceae Aegilops Aegilops geniculata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Aegilops neglecta Req. ex Bertol.,Aegilops neglecta,Aegilops neglecta Req. ex Bertol.,Plantae Tracheophyta Liliopsida Poales Poaceae Aegilops Aegilops neglecta,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Aegopodium L.,Aegopodium L.,Aegopodium L.,Plantae Tracheophyta Magnoliopsida Apiales Apiaceae Aegopodium,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Aegopodium podagraria L.,Aegopodium podagraria,Aegopodium podagraria L.,Plantae Tracheophyta Magnoliopsida Apiales Apiaceae Aegopodium Aegopodium podagraria,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Aeschynomene L.,Aeschynomene L.,Aeschynomene L.,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Aeschynomene,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Aeschynomene indica L.,Aeschynomene indica,Aeschynomene indica L.,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Aeschynomene Aeschynomene indica,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
"Aeschynomene virginica (L.) Britton, Sterns & Poggenb.",Aeschynomene virginica,"Aeschynomene virginica (L.) Britton, Sterns & Poggenb.",Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Aeschynomene Aeschynomene virginica,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Aesculus L.,Aesculus L.,Aesculus L.,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Aesculus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Aesculus flava Aiton,Aesculus flava,Aesculus flava Aiton,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Aesculus Aesculus flava,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Aesculus glabra Willd.,Aesculus glabra,Aesculus glabra Willd.,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Aesculus Aesculus glabra,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Aesculus hippocastanum L.,Aesculus hippocastanum,Aesculus hippocastanum L.,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Aesculus Aesculus hippocastanum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Aesculus pavia L.,Aesculus pavia,Aesculus pavia L.,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Aesculus Aesculus pavia,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Aesculus pavia L. var. pavia,Aesculus pavia,Aesculus pavia L. var. pavia,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Aesculus Aesculus pavia,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Aesculus sylvatica W. Bartram,Aesculus sylvatica,Aesculus sylvatica W. Bartram,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Aesculus Aesculus sylvatica,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Aesculus ×hybrida DC. (pro sp.) [flava × pavia],Aesculus hybrida,Aesculus ×hybrida DC. (pro sp.) [flava × pavia],Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Aesculus Aesculus hybrida,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Aesculus ×neglecta Lindl. (pro sp.) [flava × sylvatica],Aesculus neglecta,Aesculus ×neglecta Lindl. (pro sp.) [flava × sylvatica],Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Aesculus Aesculus neglecta,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Agalinis Raf.,Agalinis Raf.,Agalinis Raf.,Plantae Tracheophyta Magnoliopsida Lamiales Orobanchaceae Agalinis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Agalinis auriculata (Michx.) S.F. Blake,Agalinis auriculata,Agalinis auriculata (Michx.) S.F. Blake,Plantae Tracheophyta Magnoliopsida Lamiales Orobanchaceae Agalinis Agalinis auriculata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Agalinis fasciculata (Elliott) Raf.,Agalinis fasciculata,Agalinis fasciculata (Elliott) Raf.,Plantae Tracheophyta Magnoliopsida Lamiales Orobanchaceae Agalinis Agalinis fasciculata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Agalinis linifolia (Nutt.) Britton,Agalinis linifolia,Agalinis linifolia (Nutt.) Britton,Plantae Tracheophyta Magnoliopsida Lamiales Orobanchaceae Agalinis Agalinis linifolia,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Agalinis maritima (Raf.) Raf.,Agalinis maritima,Agalinis maritima (Raf.) Raf.,Plantae Tracheophyta Magnoliopsida Lamiales Orobanchaceae Agalinis Agalinis maritima,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Agalinis maritima (Raf.) Raf. var. grandiflora (Benth.) Shinners,Agalinis maritima,Agalinis maritima (Raf.) Raf. var. grandiflora (Benth.) Shinners,Plantae Tracheophyta Magnoliopsida Lamiales Orobanchaceae Agalinis Agalinis maritima,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Agalinis maritima (Raf.) Raf. var. maritima,Agalinis maritima,Agalinis maritima (Raf.) Raf. var. maritima,Plantae Tracheophyta Magnoliopsida Lamiales Orobanchaceae Agalinis Agalinis maritima,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Agalinis obtusifolia Raf.,Agalinis obtusifolia,Agalinis obtusifolia Raf.,Plantae Tracheophyta Magnoliopsida Lamiales Orobanchaceae Agalinis Agalinis obtusifolia,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Agalinis paupercula (A. Gray) Britton,Agalinis purpurea,Agalinis paupercula (A. Gray) Britton,Plantae Tracheophyta Magnoliopsida Lamiales Orobanchaceae Agalinis Agalinis purpurea,EXACT_MATCH_PRIMARY_SOURCE_SYNONYM_SIMPLE
Agalinis paupercula (A. Gray) Britton var. paupercula,Agalinis paupercula (A. Gray) Britton var. paupercula,Agalinis paupercula (A. Gray) Britton var. paupercula,Plantae Agalinis Agalinis paupercula (A. Gray) Britton var. paupercula,FORCE_ACCEPTED
Agalinis purpurea (L.) Pennell,Agalinis purpurea,Agalinis purpurea (L.) Pennell,Plantae Tracheophyta Magnoliopsida Lamiales Orobanchaceae Agalinis Agalinis purpurea,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Agalinis setacea (J.F. Gmel.) Raf.,Agalinis setacea,Agalinis setacea (J.F. Gmel.) Raf.,Plantae Tracheophyta Magnoliopsida Lamiales Orobanchaceae Agalinis Agalinis setacea,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Agalinis tenuifolia (Vahl) Raf.,Agalinis tenuifolia,Agalinis tenuifolia (Vahl) Raf.,Plantae Tracheophyta Magnoliopsida Lamiales Orobanchaceae Agalinis Agalinis tenuifolia,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Agalinis tenuifolia (Vahl) Raf. var. tenuifolia,Agalinis tenuifolia (Vahl) Raf. var. tenuifolia,Agalinis tenuifolia (Vahl) Raf. var. tenuifolia,Plantae Agalinis Agalinis tenuifolia (Vahl) Raf. var. tenuifolia,FORCE_ACCEPTED
Agastache Clayton ex Gronov.,Agastache Clayton ex Gronov.,Agastache Clayton ex Gronov.,Plantae Tracheophyta Magnoliopsida Lamiales Lamiaceae Agastache,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Agastache nepetoides (L.) Kuntze,Agastache nepetoides,Agastache nepetoides (L.) Kuntze,Plantae Tracheophyta Magnoliopsida Lamiales Lamiaceae Agastache Agastache nepetoides,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Agastache scrophulariifolia (Willd.) Kuntze,Agastache scrophulariifolia,Agastache scrophulariifolia (Willd.) Kuntze,Plantae Tracheophyta Magnoliopsida Lamiales Lamiaceae Agastache Agastache scrophulariifolia,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Ageratina Spach,Ageratina Spach,Ageratina Spach,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Ageratina,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Ageratina altissima (L.) R.M. King & H. Rob.,Ageratina altissima,Ageratina altissima (L.) R.M. King & H. Rob.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Ageratina Ageratina altissima,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Ageratina altissima (L.) R.M. King & H. Rob. var. altissima,Ageratina altissima,Ageratina altissima (L.) R.M. King & H. Rob. var. altissima,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Ageratina Ageratina altissima,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Ageratina altissima (L.) R.M. King & H. Rob. var. roanensis (Small) Clewell & Wooten,Ageratina altissima (L.) R.M. King & H. Rob. var. roanensis (Small) Clewell & Wooten,Ageratina altissima (L.) R.M. King & H. Rob. var. roanensis (Small) Clewell & Wooten,Plantae Ageratina Ageratina altissima (L.) R.M. King & H. Rob. var. roanensis (Small) Clewell & Wooten,FORCE_ACCEPTED
Ageratina aromatica (L.) Spach,Ageratina aromatica,Ageratina aromatica (L.) Spach,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Ageratina Ageratina aromatica,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Ageratina aromatica (L.) Spach var. aromatica,Ageratina aromatica,Ageratina aromatica (L.) Spach var. aromatica,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Ageratina Ageratina aromatica,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Ageratina aromatica (L.) Spach var. incisa (A. Gray) C.F. Reed,Ageratina aromatica,Ageratina aromatica (L.) Spach var. incisa (A. Gray) C.F. Reed,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Ageratina Ageratina aromatica,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Agrimonia L.,Agrimonia L.,Agrimonia L.,Plantae Tracheophyta Magnoliopsida Rosales Rosaceae Agrimonia,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Agrimonia gryposepala Wallr.,Agrimonia gryposepala,Agrimonia gryposepala Wallr.,Plantae Tracheophyta Magnoliopsida Rosales Rosaceae Agrimonia Agrimonia gryposepala,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Agrimonia microcarpa Wallr.,Agrimonia microcarpa,Agrimonia microcarpa Wallr.,Plantae Tracheophyta Magnoliopsida Rosales Rosaceae Agrimonia Agrimonia microcarpa,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Agrimonia parviflora Aiton,Agrimonia parviflora,Agrimonia parviflora Aiton,Plantae Tracheophyta Magnoliopsida Rosales Rosaceae Agrimonia Agrimonia parviflora,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Agrimonia pubescens Wallr.,Agrimonia pubescens,Agrimonia pubescens Wallr.,Plantae Tracheophyta Magnoliopsida Rosales Rosaceae Agrimonia Agrimonia pubescens,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
